GEEMiHC_AR1,GEEMiHC_EX,GEEMiHC_IN,aGEEMiHC
96.7,97,97.45,97.65
91.4,89.8,89.35,92.4
92.2,89.4,90.1,93.45
94.2,89,89.85,94.5
94.45,90.05,91.55,95.6
94.55,86.95,90.45,96.2
