method,OTUs,proportion
uHC(AR),110,16
uHC(AR),116,16
uHC(AR),121,19
uHC(AR),127,32
uHC(AR),13,9
uHC(AR),135,47
uHC(AR),141,28
uHC(AR),143,96
uHC(AR),153,22
uHC(AR),158,17
uHC(AR),159,15
uHC(AR),165,17
uHC(AR),166,29
uHC(AR),178,21
uHC(AR),209,13
uHC(AR),212,42
uHC(AR),217,26
uHC(AR),223,24
uHC(AR),224,34
uHC(AR),23,43
uHC(AR),236,27
uHC(AR),277,20
uHC(AR),278,16
uHC(AR),286,7
uHC(AR),290,17
uHC(AR),291,13
uHC(AR),294,16
uHC(AR),308,19
uHC(AR),309,29
uHC(AR),316,18
uHC(AR),330,23
uHC(AR),34,12
uHC(AR),362,17
uHC(AR),373,94
uHC(AR),374,16
uHC(AR),39,22
uHC(AR),409,9
uHC(AR),41,344
uHC(AR),424,12
uHC(AR),431,20
uHC(AR),456,23
uHC(AR),463,17
uHC(AR),477,18
uHC(AR),480,17
uHC(AR),483,18
uHC(AR),490,74
uHC(AR),51,15
uHC(AR),516,16
uHC(AR),528,18
uHC(AR),537,24
uHC(AR),544,82
uHC(AR),555,169
uHC(AR),575,20
uHC(AR),581,27
uHC(AR),588,20
uHC(AR),598,17
uHC(AR),606,21
uHC(AR),610,21
uHC(AR),621,29
uHC(AR),64,10
uHC(AR),648,19
uHC(AR),663,327
uHC(AR),67,15
uHC(AR),671,17
uHC(AR),686,42
uHC(AR),69,24
uHC(AR),711,300
uHC(AR),72,27
uHC(AR),722,27
uHC(AR),726,23
uHC(AR),74,19
uHC(AR),747,26
uHC(AR),752,19
uHC(AR),755,17
uHC(AR),774,18
uHC(AR),775,40
uHC(AR),785,34
uHC(AR),818,17
uHC(AR),821,33
uHC(AR),842,31
uHC(AR),844,100
uHC(AR),847,21
uHC(AR),85,25
uHC(AR),854,17
uHC(AR),859,21
uHC(AR),865,23
uHC(AR),871,103
uHC(AR),880,18
uHC(AR),89,14
uHC(AR),890,20
uHC(AR),895,20
uHC(AR),90,12
uHC(AR),905,46
uHC(AR),908,16
uHC(AR),910,362
uHC(AR),923,38
uHC(AR),928,12
uHC(AR),937,28
uHC(AR),956,34
uHC(AR),987,22
uHC(EX),110,15
uHC(EX),116,25
uHC(EX),121,21
uHC(EX),127,31
uHC(EX),13,25
uHC(EX),135,29
uHC(EX),141,22
uHC(EX),143,32
uHC(EX),153,18
uHC(EX),158,25
uHC(EX),159,23
uHC(EX),165,25
uHC(EX),166,20
uHC(EX),178,25
uHC(EX),209,20
uHC(EX),212,17
uHC(EX),217,23
uHC(EX),223,22
uHC(EX),224,19
uHC(EX),23,28
uHC(EX),236,22
uHC(EX),277,15
uHC(EX),278,20
uHC(EX),286,16
uHC(EX),290,21
uHC(EX),291,19
uHC(EX),294,20
uHC(EX),308,24
uHC(EX),309,21
uHC(EX),316,23
uHC(EX),330,18
uHC(EX),34,24
uHC(EX),362,26
uHC(EX),373,26
uHC(EX),374,22
uHC(EX),39,24
uHC(EX),409,14
uHC(EX),41,463
uHC(EX),424,19
uHC(EX),431,19
uHC(EX),456,28
uHC(EX),463,17
uHC(EX),477,28
uHC(EX),480,26
uHC(EX),483,22
uHC(EX),490,32
uHC(EX),51,18
uHC(EX),516,15
uHC(EX),528,29
uHC(EX),537,21
uHC(EX),544,18
uHC(EX),555,27
uHC(EX),575,12
uHC(EX),581,16
uHC(EX),588,13
uHC(EX),598,22
uHC(EX),606,19
uHC(EX),610,24
uHC(EX),621,31
uHC(EX),64,23
uHC(EX),648,16
uHC(EX),663,468
uHC(EX),67,26
uHC(EX),671,21
uHC(EX),686,28
uHC(EX),69,27
uHC(EX),711,435
uHC(EX),72,21
uHC(EX),722,22
uHC(EX),726,21
uHC(EX),74,17
uHC(EX),747,21
uHC(EX),752,29
uHC(EX),755,19
uHC(EX),774,21
uHC(EX),775,27
uHC(EX),785,20
uHC(EX),818,21
uHC(EX),821,25
uHC(EX),842,13
uHC(EX),844,28
uHC(EX),847,23
uHC(EX),85,32
uHC(EX),854,26
uHC(EX),859,19
uHC(EX),865,25
uHC(EX),871,37
uHC(EX),880,28
uHC(EX),89,25
uHC(EX),890,30
uHC(EX),895,30
uHC(EX),90,21
uHC(EX),905,13
uHC(EX),908,22
uHC(EX),910,473
uHC(EX),923,24
uHC(EX),928,23
uHC(EX),937,19
uHC(EX),956,22
uHC(EX),987,20
uHC(IN),110,21
uHC(IN),116,24
uHC(IN),121,21
uHC(IN),127,27
uHC(IN),13,23
uHC(IN),135,25
uHC(IN),141,23
uHC(IN),143,22
uHC(IN),153,14
uHC(IN),158,18
uHC(IN),159,23
uHC(IN),165,24
uHC(IN),166,16
uHC(IN),178,23
uHC(IN),209,19
uHC(IN),212,15
uHC(IN),217,20
uHC(IN),223,22
uHC(IN),224,16
uHC(IN),23,25
uHC(IN),236,18
uHC(IN),277,20
uHC(IN),278,12
uHC(IN),286,17
uHC(IN),290,21
uHC(IN),291,25
uHC(IN),294,27
uHC(IN),308,18
uHC(IN),309,11
uHC(IN),316,15
uHC(IN),330,16
uHC(IN),34,26
uHC(IN),362,30
uHC(IN),373,22
uHC(IN),374,14
uHC(IN),39,17
uHC(IN),409,12
uHC(IN),41,501
uHC(IN),424,19
uHC(IN),431,18
uHC(IN),456,24
uHC(IN),463,25
uHC(IN),477,16
uHC(IN),480,24
uHC(IN),483,20
uHC(IN),490,23
uHC(IN),51,21
uHC(IN),516,19
uHC(IN),528,20
uHC(IN),537,26
uHC(IN),544,16
uHC(IN),555,13
uHC(IN),575,17
uHC(IN),581,21
uHC(IN),588,13
