method,OTUs,proportion
uHC(IN),598,14
uHC(IN),606,22
uHC(IN),610,28
uHC(IN),621,23
uHC(IN),64,20
uHC(IN),648,29
uHC(IN),663,524
uHC(IN),67,26
uHC(IN),671,25
uHC(IN),686,24
uHC(IN),69,28
uHC(IN),711,482
uHC(IN),72,11
uHC(IN),722,18
uHC(IN),726,23
uHC(IN),74,20
uHC(IN),747,22
uHC(IN),752,24
uHC(IN),755,23
uHC(IN),774,14
uHC(IN),775,19
uHC(IN),785,21
uHC(IN),818,27
uHC(IN),821,15
uHC(IN),842,12
uHC(IN),844,22
uHC(IN),847,18
uHC(IN),85,30
uHC(IN),854,26
uHC(IN),859,15
uHC(IN),865,15
uHC(IN),871,19
uHC(IN),880,25
uHC(IN),89,22
uHC(IN),890,25
uHC(IN),895,27
uHC(IN),90,17
uHC(IN),905,18
uHC(IN),908,27
uHC(IN),910,524
uHC(IN),923,20
uHC(IN),928,21
uHC(IN),937,16
uHC(IN),956,21
uHC(IN),987,20
wHC(AR),110,14
wHC(AR),116,19
wHC(AR),121,14
wHC(AR),127,18
wHC(AR),13,9
wHC(AR),135,50
wHC(AR),141,26
wHC(AR),143,128
wHC(AR),153,19
wHC(AR),158,12
wHC(AR),159,16
wHC(AR),165,14
wHC(AR),166,40
wHC(AR),178,26
wHC(AR),209,10
wHC(AR),212,21
wHC(AR),217,30
wHC(AR),223,23
wHC(AR),224,33
wHC(AR),23,46
wHC(AR),236,13
wHC(AR),277,16
wHC(AR),278,6
wHC(AR),286,7
wHC(AR),290,23
wHC(AR),291,6
wHC(AR),294,23
wHC(AR),308,17
wHC(AR),309,35
wHC(AR),316,12
wHC(AR),330,15
wHC(AR),34,10
wHC(AR),362,19
wHC(AR),373,121
wHC(AR),374,17
wHC(AR),39,17
wHC(AR),409,11
wHC(AR),41,291
wHC(AR),424,9
wHC(AR),431,37
wHC(AR),456,15
wHC(AR),463,41
wHC(AR),477,39
wHC(AR),480,41
wHC(AR),483,39
wHC(AR),490,81
wHC(AR),51,14
wHC(AR),516,15
wHC(AR),528,15
wHC(AR),537,14
wHC(AR),544,94
wHC(AR),555,180
wHC(AR),575,26
wHC(AR),581,25
wHC(AR),588,19
wHC(AR),598,12
wHC(AR),606,16
wHC(AR),610,15
wHC(AR),621,44
wHC(AR),64,17
wHC(AR),648,12
wHC(AR),663,298
wHC(AR),67,47
wHC(AR),671,14
wHC(AR),686,15
wHC(AR),69,16
wHC(AR),711,297
wHC(AR),72,25
wHC(AR),722,29
wHC(AR),726,12
wHC(AR),74,12
wHC(AR),747,15
wHC(AR),752,15
wHC(AR),755,17
wHC(AR),774,18
wHC(AR),775,45
wHC(AR),785,23
wHC(AR),818,14
wHC(AR),821,35
wHC(AR),842,37
wHC(AR),844,119
wHC(AR),847,27
wHC(AR),85,20
wHC(AR),854,21
wHC(AR),859,21
wHC(AR),865,21
wHC(AR),871,135
wHC(AR),880,15
wHC(AR),89,16
wHC(AR),890,39
wHC(AR),895,18
wHC(AR),90,21
wHC(AR),905,48
wHC(AR),908,10
wHC(AR),910,288
wHC(AR),923,48
wHC(AR),928,7
wHC(AR),937,37
wHC(AR),956,32
wHC(AR),987,26
wHC(EX),110,26
wHC(EX),116,21
wHC(EX),121,22
wHC(EX),127,23
wHC(EX),13,17
wHC(EX),135,22
wHC(EX),141,18
wHC(EX),143,36
wHC(EX),153,19
wHC(EX),158,24
wHC(EX),159,21
wHC(EX),165,22
wHC(EX),166,21
wHC(EX),178,25
wHC(EX),209,15
wHC(EX),212,18
wHC(EX),217,15
wHC(EX),223,16
wHC(EX),224,16
wHC(EX),23,25
wHC(EX),236,25
wHC(EX),277,24
wHC(EX),278,16
wHC(EX),286,12
wHC(EX),290,18
wHC(EX),291,20
wHC(EX),294,19
wHC(EX),308,18
wHC(EX),309,21
wHC(EX),316,28
wHC(EX),330,16
wHC(EX),34,19
wHC(EX),362,26
wHC(EX),373,36
wHC(EX),374,21
wHC(EX),39,15
wHC(EX),409,12
wHC(EX),41,390
wHC(EX),424,20
wHC(EX),431,39
wHC(EX),456,19
wHC(EX),463,45
wHC(EX),477,55
wHC(EX),480,66
wHC(EX),483,51
wHC(EX),490,22
wHC(EX),51,16
wHC(EX),516,10
wHC(EX),528,23
wHC(EX),537,18
wHC(EX),544,25
wHC(EX),555,38
wHC(EX),575,12
wHC(EX),581,17
wHC(EX),588,17
wHC(EX),598,17
wHC(EX),606,13
wHC(EX),610,28
wHC(EX),621,33
wHC(EX),64,34
wHC(EX),648,18
wHC(EX),663,463
wHC(EX),67,72
wHC(EX),671,22
wHC(EX),686,18
wHC(EX),69,21
wHC(EX),711,443
wHC(EX),72,18
wHC(EX),722,19
wHC(EX),726,19
wHC(EX),74,16
wHC(EX),747,18
wHC(EX),752,18
wHC(EX),755,13
wHC(EX),774,19
wHC(EX),775,23
wHC(EX),785,27
wHC(EX),818,19
wHC(EX),821,20
wHC(EX),842,19
wHC(EX),844,44
wHC(EX),847,35
wHC(EX),85,26
wHC(EX),854,20
wHC(EX),859,18
wHC(EX),865,26
wHC(EX),871,39
wHC(EX),880,23
wHC(EX),89,20
wHC(EX),890,54
wHC(EX),895,29
wHC(EX),90,20
wHC(EX),905,18
wHC(EX),908,19
wHC(EX),910,441
wHC(EX),923,18
wHC(EX),928,15
wHC(EX),937,17
wHC(EX),956,19
wHC(EX),987,18
wHC(IN),110,20
wHC(IN),116,14
wHC(IN),121,21
wHC(IN),127,26
wHC(IN),13,18
wHC(IN),135,23
wHC(IN),141,20
wHC(IN),143,22
wHC(IN),153,15
wHC(IN),158,20
wHC(IN),159,24
wHC(IN),165,28
wHC(IN),166,14
wHC(IN),178,22
wHC(IN),209,18
wHC(IN),212,17
wHC(IN),217,15
wHC(IN),223,21
wHC(IN),224,15
wHC(IN),23,19
wHC(IN),236,18
wHC(IN),277,23
wHC(IN),278,16
wHC(IN),286,15
wHC(IN),290,15
wHC(IN),291,20
wHC(IN),294,25
wHC(IN),308,19
wHC(IN),309,10
wHC(IN),316,18
wHC(IN),330,12
wHC(IN),34,23
wHC(IN),362,31
wHC(IN),373,12
wHC(IN),374,15
wHC(IN),39,16
wHC(IN),409,12
wHC(IN),41,430
wHC(IN),424,17
wHC(IN),431,44
wHC(IN),456,17
wHC(IN),463,38
wHC(IN),477,50
wHC(IN),480,65
wHC(IN),483,43
wHC(IN),490,17
wHC(IN),51,19
wHC(IN),516,19
wHC(IN),528,25
wHC(IN),537,22
wHC(IN),544,14
wHC(IN),555,10
wHC(IN),575,18
wHC(IN),581,16
wHC(IN),588,11
wHC(IN),598,15
wHC(IN),606,19
wHC(IN),610,23
wHC(IN),621,19
wHC(IN),64,23
wHC(IN),648,23
wHC(IN),663,524
wHC(IN),67,73
wHC(IN),671,25
wHC(IN),686,24
wHC(IN),69,22
wHC(IN),711,488
wHC(IN),72,12
wHC(IN),722,15
wHC(IN),726,24
wHC(IN),74,15
wHC(IN),747,19
wHC(IN),752,21
wHC(IN),755,18
wHC(IN),774,15
wHC(IN),775,19
wHC(IN),785,20
wHC(IN),818,20
wHC(IN),821,16
wHC(IN),842,13
wHC(IN),844,16
wHC(IN),847,30
wHC(IN),85,24
wHC(IN),854,28
wHC(IN),859,15
wHC(IN),865,16
wHC(IN),871,22
wHC(IN),880,21
wHC(IN),89,22
wHC(IN),890,52
wHC(IN),895,24
wHC(IN),90,25
wHC(IN),905,16
wHC(IN),908,29
wHC(IN),910,497
wHC(IN),923,21
wHC(IN),928,13
wHC(IN),937,16
wHC(IN),956,22
wHC(IN),987,19
