method,OTUs,proportion
uHC(IN),588,6
uHC(IN),590,2
uHC(IN),593,3
uHC(IN),598,2
uHC(IN),606,9
uHC(IN),610,10
uHC(IN),621,1
uHC(IN),64,7
uHC(IN),648,5
uHC(IN),663,8
uHC(IN),67,7
uHC(IN),671,8
uHC(IN),69,8
uHC(IN),711,762
uHC(IN),72,4
uHC(IN),722,3
uHC(IN),726,4
uHC(IN),74,5
uHC(IN),747,4
uHC(IN),752,4
uHC(IN),755,6
uHC(IN),774,4
uHC(IN),775,5
uHC(IN),818,5
uHC(IN),821,2
uHC(IN),842,2
uHC(IN),844,1
uHC(IN),847,15
uHC(IN),85,9
uHC(IN),854,3
uHC(IN),859,3
uHC(IN),865,3
uHC(IN),871,4
uHC(IN),880,7
uHC(IN),89,5
uHC(IN),890,5
uHC(IN),895,5
uHC(IN),90,2
uHC(IN),905,2
uHC(IN),908,13
uHC(IN),910,7
uHC(IN),923,1
uHC(IN),928,4
uHC(IN),937,2
uHC(IN),956,6
uHC(IN),985,2
uHC(IN),431,0
wHC(AR),110,3
wHC(AR),116,5
wHC(AR),121,3
wHC(AR),127,9
wHC(AR),13,3
wHC(AR),135,9
wHC(AR),141,10
wHC(AR),143,19
wHC(AR),153,6
wHC(AR),158,6
wHC(AR),159,4
wHC(AR),165,7
wHC(AR),166,7
wHC(AR),178,6
wHC(AR),209,1
wHC(AR),212,7
wHC(AR),217,3
wHC(AR),223,4
wHC(AR),224,7
wHC(AR),23,7
wHC(AR),236,5
wHC(AR),277,641
wHC(AR),278,3
wHC(AR),286,8
wHC(AR),290,4
wHC(AR),291,8
wHC(AR),294,19
wHC(AR),308,10
wHC(AR),309,7
wHC(AR),316,3
wHC(AR),330,3
wHC(AR),34,4
wHC(AR),362,6
wHC(AR),373,27
wHC(AR),374,9
wHC(AR),39,5
wHC(AR),409,4
wHC(AR),41,4
wHC(AR),424,3
wHC(AR),431,3
wHC(AR),456,2
wHC(AR),463,17
wHC(AR),477,6
wHC(AR),480,16
wHC(AR),483,3
wHC(AR),490,10
wHC(AR),51,3
wHC(AR),516,2
wHC(AR),528,6
wHC(AR),537,6
wHC(AR),544,10
wHC(AR),555,27
wHC(AR),575,8
wHC(AR),581,7
wHC(AR),588,6
wHC(AR),590,38
wHC(AR),593,30
wHC(AR),598,8
wHC(AR),606,3
